,ID,Operacao,Emissao,CNPJ,Cliente,MWh,Unidade,Total
0,NFe26230521185583000223550010000001351081985560,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:10:41-03:00,33050071000158,AMPLA ENERGIA E SERVICOS S.A.,226.7630,133.46,30263.79
1,NFe26230521185583000223550010000001361752812970,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:13:07-03:00,02302100000106,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,61.4170,133.459954,8196.71
2,NFe26230521185583000223550010000001371248519863,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:16:59-03:00,05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,125.1970,133.459987,16708.79
3,NFe26230521185583000223550010000001381056062072,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:18:28-03:00,12272084000100,COMPANHIA ENERGETICA DE ALAGOAS - CEAL,47.7397,133.460086,6371.34
4,NFe26230521185583000223550010000001391015506941,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:26:22-03:00,08467115000100,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA,64.4487,133.460015,8601.32
5,NFe26230521185583000223550010000001401393507868,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:27:15-03:00,01543032000104,CELG DISTRIBUICAO S.A.,172.1013,133.459977,22968.64
6,NFe26230521185583000223550010000001411404317250,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:28:44-03:00,04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,112.4507,133.460036,15007.67
7,NFe26230521185583000223550010000001421852459820,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:40:26-03:00,10835932000108,COMPANHIA ENERGETICA DE PERNAMBUCO,28.6437,133.459869,3822.78
8,NFe26230521185583000223550010000001431667966840,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:42:27-03:00,06272793000184,COMPANHIA ENERGETICA DO MARANHAO,127.9180,133.460029,17071.94
9,NFe26230521185583000223550010000001441095870335,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:46:43-03:00,06981180000116,CEMIG DISTRIBUICAO S.A.,312.6943,133.460014,41732.19
10,NFe26230521185583000223550010000001451323385492,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:48:01-03:00,06840748000189,COMPANHIA ENERGETICA DO PIAUI,76.3833,133.460004,10194.12
11,NFe26230521185583000223550010000001461911929288,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:51:16-03:00,15139629000194,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,298.3727,133.460013,39820.82
12,NFe26230521185583000223550010000001471948568448,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:52:12-03:00,07047251000170,COMPANHIA ENERGETICA DO CEARA,103.8337,133.459989,13857.64
13,NFe26230521185583000223550010000001481459908324,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:56:28-03:00,04368898000106,COPEL DISTRIBUICAO S.A.,286.4377,133.459997,38227.97
14,NFe26230521185583000223550010000001491847941008,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:58:06-03:00,08324196000181,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE,64.4487,133.460015,8601.32
15,NFe26230521185583000223550010000001501536045907,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:00:04-03:00,02328280000197,ELEKTRO REDES S.A.,262.5677,133.459997,35042.28
16,NFe26230521185583000223550010000001511863067153,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:01:21-03:00,19527639000158,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,25.4213,133.459955,3392.73
17,NFe26230521185583000223550010000001521130337610,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:02:41-03:00,15413826000150,ENERGISA MATO GROSSO DO SUL-DISTRIBUIDORA DE ENERGIA S.A.,72.4687,133.460024,9671.67
18,NFe26230521185583000223550010000001531625280334,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:04:45-03:00,03467321000199,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,223.4213,133.459995,29817.81
19,NFe26230521185583000223550010000001541374706023,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:06:30-03:00,09095183000140,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A.,55.5927,133.460049,7419.40
20,NFe26230521185583000223550010000001551335041773,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:08:06-03:00,05914650000166,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A.,162.3147,133.460028,21662.52
21,NFe26230521185583000223550010000001561641969068,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:09:16-03:00,13017462000163,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A.,39.4330,133.460046,5262.73
22,NFe26230521185583000223550010000001571470380852,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:10:46-03:00,25086034000171,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,34.9453,133.45988,4663.80
23,NFe26230521185583000223550010000001581368051460,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:12:04-03:00,28152650000171,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,159.6890,133.459975,21312.09
24,NFe26230521185583000223550010000001591890093060,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T11:12:55-03:00,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,128.8970,133.459972,17202.59
